清洗后名称,标准名称,部位（一级）,部位（二级）,部位,检查方式,特征,性别
螺旋CT(咽喉部),（咽喉）CT,耳鼻喉,咽喉,咽喉,CT,,
螺旋CT(咽喉部)(无片),（咽喉）CT,耳鼻喉,咽喉,咽喉,CT,,
螺旋CT(喉部),（喉）CT,耳鼻喉,咽喉,喉,CT,,
螺旋CT(左)肩关节,（左肩关节）CT,,肩关节,左肩关节,CT,螺旋,
螺旋CT(左)踝关节,（左踝关节）CT,足部,踝关节,左踝关节,CT,螺旋,
螺旋CT(盆腔),（盆腔）CT,盆腔,,盆腔,CT,螺旋,
螺旋CT(盆腔)(无片),（盆腔）CT,盆腔,,盆腔,CT,,
螺旋CT(肋骨三维重建),（肋骨）CT,肋骨,,肋骨,CT,螺旋,
螺旋CT(肝脏平扫),（肝）CT,腹部,肝,肝,CT,螺旋,
螺旋CT(肝脏平扫)(无片),（肝）CT,腹部,肝,肝,CT,螺旋,
螺旋CT(肝脏平扫)(赠送),（肝）CT,腹部,肝,肝,CT,螺旋,
螺旋CT(肩关节),（肩关节）CT,,肩关节,肩关节,CT,螺旋,
螺旋CT(肩关节)(无片),（肩关节）CT,,肩关节,肩关节,CT,螺旋,
螺旋CT(肾上腺),（肾上腺）CT,腹部,肾上腺,肾上腺,CT,螺旋,
螺旋CT(肾上腺)(无片),（肾上腺）CT,腹部,肾上腺,肾上腺,CT,螺旋,
螺旋CT(腕关节),（腕关节）CT,,腕关节,腕关节,CT,螺旋,
螺旋CT(腰椎),（腰椎）CT,腰部,腰椎,腰椎,CT,螺旋,
螺旋CT(腰椎)(无片),（腰椎）CT,腰部,腰椎,腰椎,CT,螺旋,
螺旋CT(腰椎)(赠送),（腰椎）CT,腰部,腰椎,腰椎,CT,螺旋,
螺旋CT(膝关节),（膝关节）CT,,膝关节,膝关节,CT,螺旋,
螺旋CT(膝关节)(无片),（膝关节）CT,,膝关节,膝关节,CT,螺旋,
螺旋CT(膝关节)(赠送),（膝关节）CT,,膝关节,膝关节,CT,螺旋,
螺旋CT(踝关节),（踝关节）CT,足部,踝关节,踝关节,CT,螺旋,
螺旋CT(踝关节)(无片),（踝关节）CT,足部,踝关节,踝关节,CT,螺旋,
螺旋CT(颈椎),（颈椎）CT,,颈椎,颈椎,CT,螺旋,
螺旋CT(颈椎)(无片),（颈椎）CT,,颈椎,颈椎,CT,螺旋,
螺旋CT(颈椎)(赠送),（颈椎）CT,,颈椎,颈椎,CT,螺旋,
螺旋CT(骨盆)(无片),（骨盆）CT,骨盆,,骨盆,CT,螺旋,
螺旋CT(髋关节),（髋关节）CT,骨盆,髋关节,髋关节,CT,螺旋,
螺旋CT(髋关节)(无片),（髋关节）CT,骨盆,髋关节,髋关节,CT,螺旋,
螺旋CT(鼻咽部),（鼻|咽）CT,耳鼻喉,鼻,鼻|咽,CT,螺旋,
螺旋CT(鼻咽部+颅底),（鼻|咽|颅底）CT,耳鼻喉,鼻,鼻|咽|颅底,CT,螺旋,
螺旋CT副鼻窦(无片),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,螺旋,
螺旋CT四肢(无片),（四肢）CT,四肢,,四肢,CT,,
螺旋CT扫描(医保),CT,,,,CT,,
螺旋CT扫描2(医保),CT,,,,CT,,
螺旋CT扫描(64排以下),CT,,,,CT,64排,
螺旋CT扫描(64排以下)(医保项目),CT,,,,CT,64排,
螺旋CT断层扫描(每部位),CT,,,,CT,,
螺旋CT断层扫描(每部位)(不出片),CT,,,,CT,,
螺旋CT断层扫描(每部位)(不用),CT,,,,CT,,
螺旋CT断层扫描(部位一),CT,,,,CT,,
螺旋CT断层扫描(部位二),CT,,,,CT,,
螺旋CT膝关节(含片),（膝关节）CT,,膝关节,膝关节,CT,螺旋,
螺旋CT(双侧髋关节),（髋关节）CT,骨盆,髋关节,髋关节,CT,螺旋,
螺旋CT(眼眶)(无片),（眼眶）CT,眼部,眼眶,眼眶,CT,,
螺旋CT(腰椎椎体)不含片,（腰椎）CT,腰部,椎体,腰椎,CT,螺旋,
螺旋CT(腰椎间盘),（腰椎）CT,腰部,腰椎间盘,腰椎,CT,螺旋,
螺旋CT(颈椎椎体)不含片,（颈椎）CT,,颈椎,颈椎,CT,螺旋,
螺旋CT(颈椎间盘),（颈椎）CT,,颈椎,颈椎,CT,螺旋,
螺旋CT(颈椎)(含片),（颈椎）CT,,颈椎,颈椎,CT,螺旋,
螺旋颈椎CT平扫(三个椎体),（颈椎）CT,颈椎,椎体,颈椎,CT,螺旋,
血管CTA-冠脉,（冠脉）CT,,,冠脉,CT,,
衢州-颈椎CT1(不出片),（颈椎）CT,,颈椎,颈椎,CT,,
衢州-骨髋关节CT(不出片),（骨髋关节）CT,骨盆,髋关节,骨髋关节,CT,,
衢州-副鼻窦CT(1)(不出片),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
衢州-右腕关节平扫CT,（右腕关节）CT,,腕关节,右腕关节,CT,,
衢州-盆腔CT(不出片)1,（盆腔）CT,盆腔,,盆腔,CT,,
衢州-腰椎CT椎间盘(L3-S1)1(不出片),（腰椎）CT,腰部,腰椎间盘,腰椎,CT,,
衢州-腰椎CT椎间盘(L3-S1)(不出片),（腰椎）CT,腰部,腰椎间盘,腰椎,CT,,
衢州-膝关节右侧CT,（右膝关节）CT,,膝关节,右膝关节,CT,,
衢州-膝关节左侧CT,（左膝关节）CT,,膝关节,左膝关节,CT,,
西门子副鼻窦CT(不出片),（副鼻窦）CT,耳鼻喉,鼻,副鼻窦,CT,,
西门子双肾CT(不出片),（肾）CT,腹部,肾,肾,CT,,
西门子右膝关节CT(不出片),（右膝关节）CT,,膝关节,右膝关节,CT,,
西门子左膝关节CT(不出片),（左膝关节）CT,,膝关节,左膝关节,CT,,
西门子肝胆脾CT(不出片),（肝|胆|脾）CT,腹部,,肝|胆|脾,CT,,
西门子胰腺CT(不出片),（胰）CT,下腹部,胰腺,胰,CT,,
西门子腰椎CT(贵宾)(不出片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
西门子腰椎CT(不出片),（腰椎）CT,腰部,腰椎,腰椎,CT,,
西门子踝关节CT(不出片),（踝关节）CT,足部,踝关节,踝关节,CT,,
西门子颅脑CT(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
西门子颅脑CT(贵宾)(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
西门子颈椎CT(不出片),（颈椎）CT,,颈椎,颈椎,CT,,
西门子颈椎CT(贵宾)(不出片),（颈椎）CT,,颈椎,颈椎,CT,,
西门子髋关节CT,（髋关节）CT,骨盆,髋关节,髋关节,CT,,
赠送-腰椎CT,（腰椎）CT,腰部,腰椎,腰椎,CT,,
赠送-颈椎CT,（颈椎）CT,,颈椎,颈椎,CT,,
赠送颈椎CT,（颈椎）CT,,颈椎,颈椎,CT,,
足部CT,（足）CT,足部,,足,CT,,
足部CT检查,（足）CT,足部,,足,CT,,
足部CT检查(不含片),（足）CT,足部,,足,CT,,
踝关节CT,（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节CT平扫,（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节CT(VIP),（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节CT(不出片),（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节CT(不含片),（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节CT(停用),（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节CT(平扫),（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节平扫(双侧)(CT)(不含片),（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节平扫(双侧)(CT)(不含片)(赠送),（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节平扫(右)(CT)(不含片)(赠送),（右踝关节）CT,足部,踝关节,右踝关节,CT,,
踝关节平扫(左)(CT)(不含片),（左踝关节）CT,足部,踝关节,左踝关节,CT,,
踝关节平扫(左)(CT)(不含片)(赠送),（左踝关节）CT,足部,踝关节,左踝关节,CT,,
踝关节平扫CT,（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节组合平扫(双侧)(CT)(不含片),（踝关节）CT,足部,踝关节,踝关节,CT,,
踝关节组合平扫(左)(CT)(不含片),（左踝关节）CT,足部,踝关节,左踝关节,CT,,
踝关节(CT),（踝关节）CT,足部,踝关节,踝关节,CT,,
部位CT自选(贵宾),CT,,任一,,CT,,
降钙素测定(CT),CT,,,,CT,,
颅脑(CT),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑(CT)赠送,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(16排不出片),（颅脑）CT,头部,脑,颅脑,CT,16排,
颅脑CT(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(不出片|怀孕备孕禁忌),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(不含片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(准备怀孕禁忌),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(含片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT-(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT-活动(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT16排,（颅脑）CT,头部,脑,颅脑,CT,16排,
颅脑CT不出片,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT不出片(赠送项目),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT体层扫描,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT体层扫描(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT出片,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT平扫,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT平扫(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT平扫-(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT平扫(不含片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT平扫(出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT平扫(市场部不含片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT平扫(市场部),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT检查(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT活动,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT活动(不出片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(不出片)HD,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(不出片)备孕勿做,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(不出片)本地,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(不出片)赠送,（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(含胶片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(平扫),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(胶片),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑CT(赠送),（颅脑）CT,头部,脑,颅脑,CT,,
颅脑螺旋CT平扫(不出片),（颅脑）CT,头部,脑,颅脑,CT,螺旋,
颅脑螺旋CT断层扫描,（颅脑）CT,头部,脑,颅脑,CT,螺旋,
颅脑螺旋CT断层扫描(CT卡),（颅脑）CT,头部,脑,颅脑,CT,螺旋,
颅部低剂量螺旋CT检查(不出片),（头颅）CT,头部,,头颅,CT,低剂量螺旋,
颅面骨CT,（颅面骨）CT,头部,,颅面骨,CT,,
颈椎-CT,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎16排低剂量螺旋CT,（颈椎）CT,,颈椎,颈椎,CT,低剂量|螺旋|16排,
颈椎CT(16排),（颈椎）CT,,颈椎,颈椎,CT,16排,
颈椎CT(188优惠卡),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(64),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(64不出片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(64排),（颈椎）CT,,颈椎,颈椎,CT,64排,
颈椎CT(不出片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(体验),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(出片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(加项不含片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(含片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(特惠),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(赠送),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(赣州),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(不含片)(赠送),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT一部位,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT不出片,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT不出片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT体层扫描,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT出片,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT平扫,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT平扫(三个椎体),（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎CT平扫(不出片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT平扫(不含片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT平扫(出片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT检查(64排),（颈椎）CT,,颈椎,颈椎,CT,64排,
颈椎CT检查(不含片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT检查-无图文,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT检查(不出片),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT检测,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT检测(1),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(2019年度1+X加项包),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(2T),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(VIP),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(上段),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(下段),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(不出片)三节,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(不出片)备孕勿做,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎CT(出片自费),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎X线计算机体层(CT)扫描,（颈椎）CT,,颈椎,颈椎,CT,,
颈椎以及椎管CT,（颈椎）CT,脊柱,,颈椎,CT,,
颈椎全段(CT),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎及椎管CT,（颈椎）CT,脊柱,,颈椎,CT,,
颈椎及椎管CT(含胶片),（颈椎）CT,脊柱,,颈椎,CT,,
颈椎平扫CT(团),（颈椎）CT,,颈椎,颈椎,CT,,
颈椎椎体CT,（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎椎体CT平扫(不出片),（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎椎体CT(不出片),（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎椎体CT(不含片),（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎椎体CT(含片),（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎椎体CT(备孕|孕禁)不出片,（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎椎体平扫(CT)(不含片),（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎椎体平扫(CT)(不含片)(赠送),（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎椎体组合平扫(CT)(不含片),（颈椎）CT,颈椎,椎体,颈椎,CT,,
颈椎椎间盘CT,（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎椎间盘CT(赠送)(不出片),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎椎间盘CT(赠送),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎螺旋CT扫描(孕者禁),（颈椎）CT,,颈椎,颈椎,CT,螺旋,
颈椎螺旋CT断层扫描,（颈椎）CT,,颈椎,颈椎,CT,螺旋,
颈椎螺旋CT断层扫描(CT卡),（颈椎）CT,,颈椎,颈椎,CT,螺旋,
颈椎螺旋CT断层扫描(不出片),（颈椎）CT,,颈椎,颈椎,CT,螺旋,
颈椎螺旋CT断层扫描平扫+三维重建,（颈椎）CT,,颈椎,颈椎,CT,螺旋,
颈椎间盘CT,（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘CTA,（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘CT(2018),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘CT(2019),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘CT(不出片),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘CT(含片),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘CT不出片,（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘CT(不含片),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘CT(停用),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘CT(赠送),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘全段(CT),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘平扫(CT)(不含片),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘平扫(CT)(不含片)(赠送),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎间盘组合平扫(CT)(不含片),（颈椎）CT,颈椎,椎间盘,颈椎,CT,,
颈椎(CT),（颈椎）CT,,颈椎,颈椎,CT,,
颈部CT,（颈部）CT,颈部,,颈部,CT,,
颈部CT(不含出片),（颈部）CT,颈部,,颈部,CT,,
颈部CT(出片),（颈部）CT,颈部,,颈部,CT,,
颈部CT出片,（颈部）CT,颈部,,颈部,CT,,
颈部CT平扫,（颈部）CT,颈部,,颈部,CT,,
颈部CT平扫(不出片),（颈部）CT,颈部,,颈部,CT,,
颈部CT平扫(不含胶片),（颈部）CT,颈部,,颈部,CT,,
颈部CT扫描,（颈部）CT,颈部,,颈部,CT,,
颈部CT(不出片),（颈部）CT,颈部,,颈部,CT,,
颈部CT(不含片),（颈部）CT,颈部,,颈部,CT,,
颈部CT(团检),（颈部）CT,颈部,,颈部,CT,,
颈部CT(备孕|孕禁)不出片,（颈部）CT,颈部,,颈部,CT,,
颈部低剂量螺旋CT检查(不出片),（颈部）CT,颈部,,颈部,CT,低剂量螺旋,
颈部椎体CT(平扫),（颈部）CT,颈部,椎体,颈部,CT,,
颈部软组织平扫(CT)(不含片)(赠送),（颈部）CT,颈部,软组织,颈部,CT,,
颌面部CT,（颌面）CT,面部,颌面,颌面,CT,,
颞骨CT平扫,（颞骨）CT,头部,颞骨,颞骨,CT,,
飞利浦腰椎CT检查,（腰椎）CT,腰部,腰椎,腰椎,CT,,
飞利浦颈椎CT检查,（颈椎）CT,,颈椎,颈椎,CT,,
骨盆/骶髂/髋关节CT,（骨盆||骶关节|髂关节|髋关节）CT,骨盆,,骨盆||骶关节|髂关节|髋关节,CT,,
骨盆CT,（骨盆）CT,骨盆,,骨盆,CT,,
骨盆CT(不含片),（骨盆）CT,骨盆,,骨盆,CT,,
骨盆CT平扫,（骨盆）CT,骨盆,,骨盆,CT,,
骨盆CT平扫(不出片),（骨盆）CT,骨盆,,骨盆,CT,,
骨盆CT扫描,（骨盆）CT,骨盆,,骨盆,CT,,
骨盆CT(不出片),（骨盆）CT,骨盆,,骨盆,CT,,
骨盆CT(出片),（骨盆）CT,骨盆,,骨盆,CT,,
骨盆骶髂髋关节CT,（骨盆||骶关节|髂关节|髋关节）CT,骨盆,,骨盆||骶关节|髂关节|髋关节,CT,,
骨盆(CT),（骨盆）CT,骨盆,,骨盆,CT,,
"骨盆,髋关节CT三维重建",（骨盆||髋关节）CT,骨盆,,骨盆||髋关节,CT,,
骶椎CT平扫,（骶椎）CT,骨盆,骶椎骨,骶椎,CT,,
骶椎CT平扫(不出片),（骶椎）CT,骨盆,骶椎骨,骶椎,CT,,
骶髂关节CT,（骶关节|髂关节）CT,骨盆,骶髂关节,骶关节|髂关节,CT,,
骶髂关节CT(不出片),（骶关节|髂关节）CT,骨盆,骶髂关节,骶关节|髂关节,CT,,
骶髂关节CT(平扫),（骶关节|髂关节）CT,骨盆,骶髂关节,骶关节|髂关节,CT,,
骶髋关节CT(VIP),（骶关节|髂关节）CT,骨盆,骶髂关节,骶关节|髂关节,CT,,
髋关节CT,（髋关节）CT,骨盆,髋关节,髋关节,CT,,
髋关节CT(不出片),（髋关节）CT,骨盆,髋关节,髋关节,CT,,
髋关节CT(不含片),（髋关节）CT,骨盆,髋关节,髋关节,CT,,
髋关节CT(含片),（髋关节）CT,骨盆,髋关节,髋关节,CT,,
髋关节CT平扫,（髋关节）CT,骨盆,髋关节,髋关节,CT,,
鼻咽部平扫(CT)(不含片)(赠送),（鼻|咽）CT,耳鼻喉,鼻咽,鼻|咽,CT,,
鼻咽部组合平扫(CT)(不含片),（鼻|咽）CT,耳鼻喉,鼻咽,鼻|咽,CT,,
鼻咽部(CT),（鼻|咽）CT,耳鼻喉,鼻咽,鼻|咽,CT,,
鼻咽部(冠状)CT,（鼻|咽）CT,耳鼻喉,鼻咽,鼻|咽,CT,,
鼻咽部(轴位)CT,（鼻|咽）CT,耳鼻喉,鼻咽,鼻|咽,CT,,
鼻窦CT,（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
鼻窦CT(含片),（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
鼻窦CT平扫,（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
鼻窦CT平扫(不出片),（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
鼻窦CT平扫(出片),（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
鼻窦CT(64排),（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,64排,
鼻窦CT(不出片),（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
鼻窦CT(不含片),（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
鼻窦CT(冠扫),（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
鼻窦冠状位CT-不出片,（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
鼻部CT,（鼻）CT,耳鼻喉,鼻,鼻,CT,,
鼻部CT(VIP),（鼻）CT,耳鼻喉,鼻,鼻,CT,,
鼻部CT(不出片),（鼻）CT,耳鼻喉,鼻,鼻,CT,,
鼻骨CT,（鼻骨）CT,耳鼻喉,鼻骨,鼻骨,CT,,
(负一楼)CT副鼻窦,（鼻窦）CT,耳鼻喉,鼻,鼻窦,CT,,
(负一楼)CT检查腰椎,（腰椎）CT,腰部,腰椎,腰椎,CT,,
(负一楼)CT检查颈椎,（颈椎）CT,,颈椎,颈椎,CT,,
(负一楼)CT盆腔,（盆腔）CT,盆腔,,盆腔,CT,,
(负一楼)CT盆腔(出片),（盆腔）CT,盆腔,,盆腔,CT,,
2019彩超:子宫附件(双侧),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
E超子宫附件,（子宫|附件）E超,,子宫附件,子宫|附件,E超,,
E超(子宫附件),（子宫|附件）E超,,子宫附件,子宫|附件,E超,,
KS妇科彩超(子宫|附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
K妇科彩超(子宫|附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
MJ阴式彩超(子宫|附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
MJ(子宫附件)彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
MRI子宫附件,（子宫|附件）MRI,泌尿生殖系统,,子宫|附件,MRI,,
MRI平扫(盆腔+子宫附件),（盆腔|子宫|附件）MRI,,盆腔,盆腔|子宫|附件,MRI,,
OY泌尿彩超(子宫|附件)出图文,（子宫|附件）彩超,泌尿生殖,子宫附件,子宫|附件,彩超,,
OY阴式彩超(子宫|附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
OY阴式彩超(子宫|附件|双肾)出图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
OY阴式彩超(子宫|附件)出图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫|附件彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
阴超(子宫|附件)彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
彩超子宫双附件,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
妇科彩超(子宫|附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
(JZ)彩超(子宫及附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
双肾.输尿管.子宫附件彩超,（肾|输尿管|子宫|附件）彩超,泌尿生殖,,肾|输尿管|子宫|附件,彩超,,
女性B超(子宫|附件)需憋尿,（子宫|附件）B超,,子宫附件,子宫|附件,B超,,女
女性子宫|宫颈MRI,（子宫|宫颈）MRI,泌尿生殖系统,子宫,子宫|宫颈,MRI,,女
女性生殖系彩超(子宫附件),（子宫|附件）彩超,泌尿生殖,子宫附件,子宫|附件,彩超,,女
女性盆腔彩超(子宫|附件),（子宫|附件|盆腔）彩超,,子宫附件,子宫|附件|盆腔,彩超,,女
女性阴式超声(子宫附件),（子宫|附件）阴超,,子宫附件,子宫|附件,阴超,,女
妇科彩超子宫附件(腔内),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,腔内,
"妇科彩超检查(子宫,附件)",（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
妇科彩超(子宫附件),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
妇科彩超(子宫|附件)-无图文,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
妇科彩超(子宫|附件)不用,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
妇科超声(子宫|附件),（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
妇科超声(子宫附件)K,（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
妇科(子宫|附件)彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫|双附件彩超(包括输卵管),（子宫|附件）彩超,泌尿生殖,,子宫|附件,彩超,,
子宫|附件MRI,（子宫|附件）MRI,泌尿生殖系统,,子宫|附件,MRI,,
子宫|附件彩超检查,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫|附件彩超(7Y),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫|附件彩超(团),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫|附件彩超(阴式)(2T),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫|附件彩超(阴式)(DE),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫|附件超声(专家),（子宫|附件）超声,,子宫附件,子宫|附件,超声,,
子宫及附件彩超,（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫及附件彩超(不出片),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫及附件彩超(不含出片),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫及附件彩超(赣州),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫及附件彩超(阴式)(已婚项目),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
子宫及附件彩超(本地),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,,
