清洗后名称,item_names,标准化名称,结果类型,是否为总结型指标,chk_item,备注
左室缩短分数,"肝胆脾胰肾彩超,前列腺超声,心脏彩超,心脏超声检查,子宫附件超声,阴式彩超,下肢静脉彩超(双侧),泌尿生殖系B超",心室缩短分数（左）,数值型,,,
?率,"内科检查,内科,内科检查(女)",无,未确定,,,
实测值,职业健康检查-肺功能,,,,,
甲状腺彩超,"甲状腺彩超,甲状腺彩超(双侧)",甲状腺彩超,描述型,同chk_item,,
矫正视?右,"耳鼻喉检查,眼底检查,眼科检查,眼科检查(辨色力),眼科检查(外眼),耳鼻喉科检查,眼科检查(外眼|眼底),眼科检查(眼压),裂隙灯检查,外眼检查,眼科检查(裂隙灯),眼底,眼科检查(眼底),眼科检查(视力),外眼及视力+裂隙灯检查,眼科检查(1),裂隙灯,眼科检查(外眼|眼底|眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查,眼底照相,外眼及视力+眼底检查+裂隙灯检查,眼科检查(2),眼科检查(3),眼底照相机,眼科检查(眼底|眼压),眼科+裂隙灯,眼科+眼底,眼科检查(4),五官科(入职)",矫正视力（右）,描述型,,,
主动脉瓣开放幅度,"心脏超声检查,心脏彩超+左心室功能",主动脉瓣开放幅度,数值型,,,
前房,"眼科检查,眼科检查(辨色力),眼科检查(外眼),眼科检查(外眼|眼底),眼科检查(眼压),裂隙灯检查,眼科检查(裂隙灯),眼科检查(眼底),外眼及视力+裂隙灯检查,裂隙灯,眼底相机,眼科检查(外眼|眼底|眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查,眼底照相,外眼及视力+眼底检查+裂隙灯检查,眼科检查(2),免散瞳眼底检测(眼底相机检查),眼科检查(3),眼底照相机,眼科检查(眼底|眼压),眼科+裂隙灯,眼科+眼底,眼科检查(4)",前房,描述型,,,
左室?径收缩期,"心脏彩超-无图文,女性盆腔彩超,肝胆脾胰肾彩超,前列腺超声,心脏彩超,心脏超声检查,颈动脉彩超检查,心脏超声,彩超(心脏),腹部彩超(餐前),心脏彩色多普勒超声,衢州-心脏彩超,心脏彩超-图文报告,颈动脉彩超(双侧)-无图文,双肾彩超,心脏彩超(无图文),心脏彩超+心功能检测(不含片),阴式彩超(子宫|附件),心脏彩超检查,心脏彩色多普勒超声检测,V心脏彩超,心脏彩超-出图文,心脏彩超(有图文),心脏B超检查,OY心脏彩超,彩超-心脏检查,心脏彩超(赠送),心脏(彩超),心脏彩超多普勒超声检测+左心功能六项,彩超心脏,心脏彩超+左心功能(VIP区),心脏彩超-图文,心脏多普勒彩超,心脏彩超+左心室功能,心脏检查(彩超),超声(膀胱子宫附件),心脏彩超(不含图文),心脏检查彩超,心脏彩超(图文报告),彩超检查-心脏,KS心脏彩超,K心脏彩超,心脏彩超+心功能测定,彩超-心脏彩超,彩超:心脏,丽水-心脏彩超,OY心脏彩超(出图文),心脏检查彩超(赣州),心脏B超,泌尿彩超(双肾),心脏彩色多普勒超声(医保项目),MJ心脏彩超,心脏超声检查(本),心脏彩色多普勒超声(医保),心脏彩超(2T),心脏彩色多普勒超声检测+左心功能六项,超声检查-心脏超声,心脏彩超(出图文),心脏超声检查A,双侧肾上腺彩超,心脏彩超(延期)(VIP区),彩超:心脏(省),心脏超声检查(2T),慈铭-心脏彩超,心脏超声检查(本地),心脏彩超(DE),心脏彩超+心功测定,心脏彩超(升级),心脏彩色多普勒超声检测+彩色图文报告,心脏彩超(图文专供),下肢动脉彩超,心脏彩超-有图文,心脏超声检查(外),心脏超声检查0",心室内径收缩期（左）,数值型,,,
裸眼近视力右,"眼底检查,眼科检查,眼科检查(外眼),眼科检查(外眼|眼底),裂隙灯检查,眼科检查(裂隙灯),眼科检查(眼底),眼科检查(视力),眼科检查(外眼|眼底|裂隙灯)",裸眼视力（右）,数值型,,,
四肢,"外科检查,外科检查(男),外科,外科检查(女),女外科检查,男外科检查",四肢,描述型,,,
传染病接触史,内科检查,传染病接触史,描述型,,,
脾脏超声,超声(腹部),脾,描述型,同chk_item,,
躯干部热成像,热成像上半身(赠送),躯干部（热成像）,描述型,同chk_item,,
DR检查,"DR胸部正位,DR胸部正位片,DR胸片,全胸正位片",DR检查,描述型,,,
?腺,"外科检查,乳腺彩超(双侧)-无图文,外科检查(男),乳腺彩超,双乳腺彩超,乳腺彩超(双侧)-图文,外科,乳腺彩超(双侧),双乳彩超,外科检查(女),彩超(双侧乳腺),外科检查(含肛检),女外科检查,乳腺彩超+双侧腋下淋巴组织结构,VIP-乳腺彩超",无,未确定,,,
咽喉,"耳鼻喉检查,耳鼻喉检查(1),耳鼻喉科检查",咽喉,描述型,,,
左侧甲状腺,甲状腺彩超,甲状腺（左）,描述型,,,
矫正?力左,"耳鼻喉检查,眼底检查,眼科检查,眼科检查(辨色力),眼科检查(外眼),耳鼻喉科检查,眼科检查(外眼|眼底),眼科检查(眼压),裂隙灯检查,外眼检查,眼科检查(裂隙灯),眼底,眼科检查(眼底),眼科检查(视力),外眼及视力+裂隙灯检查,眼科检查(1),裂隙灯,眼科检查(外眼|眼底|眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查,眼底照相,外眼及视力+眼底检查+裂隙灯检查,眼科检查(2),眼科检查(3),眼底照相机,眼科检查(眼底|眼压),眼科+裂隙灯,眼科+眼底,眼科检查(4),五官科(入职)",矫正视力（左）,描述型,,,
嗅觉,"耳鼻喉检查,耳鼻喉检查(1),耳鼻喉科,耳鼻喉,音叉检查,耳鼻喉检查(2),五官科(入职)",嗅觉,描述型,,,
头部断层扫描,TTM头部,头部（断层扫描）,描述型,,,
糜烂部?,"外科检查,外科检查(男),外科,外科检查(女),外科检查(含肛检),(女)外科检查,(男)外科检查,外科检查A,(女)外科检查A,外科检查(男1),外科检查(女1)",糜烂部位,描述型,,,
结?,"眼底检查,眼科检查,眼科检查(辨色力),眼科检查(外眼),眼科检查(外眼|眼底),眼科检查(眼压),裂隙灯检查,外眼检查,眼科检查(裂隙灯),眼底,眼科检查(眼底),外眼及视力+裂隙灯检查,眼科检查(1),裂隙灯,眼底相机,眼科检查(外眼|眼底|眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科外眼检查,眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查,眼底照相,外眼及视力+眼底检查+裂隙灯检查,眼科检查(2),免散瞳眼底检测(眼底相机检查),眼科检查(3),眼底照相(双眼),眼底照相机,眼科检查(眼底|眼压),眼科+裂隙灯,免散瞳眼底检查(眼底相机检查),眼底照相检查(免散瞳眼底检测),眼科+眼底,眼科检查(4)",无,未确定,,,
体重指数,"外科检查(男),外科,外科检查(女)",体重指数,数值型,,,
肺部叩诊,内科,肺部叩诊,描述型,,,
血流,肝胆脾胰彩超,,,,,
中耳内耳及鼓膜,耳鼻咽喉检查,中耳内耳及鼓膜,描述型,,,
结论,"肺功能,肺功能检查,肺功能检测,头部核磁共振,头部核磁(不出片),TMT热成像(消化系统),OY肺功能检查,TMT热成像(循环系统),TMT热成像检查(中医),TMT热成像检查(西医),TMT热成像(消化系统)(赠送),TMT热成像(内分泌与免疫系统),TMT热成像(泌尿生殖系统),TMT热成像(呼吸系统),TMT热成像检查(中医)(赠送),MZ肺功能检查,TMT热成像(运动系统),TMT热成像全套,肺通气功能正常",结论,描述型,总结性指标项,,
脉象,内科,脉象,描述型,,,
主动脉根?内径,"心脏彩超-无图文,女性盆腔彩超,肝胆脾胰肾彩超,前列腺超声,心脏彩超,心脏超声检查,双侧颈动脉彩超,颈动脉彩超检查,子宫附件超声,阴式彩超,心脏超声,彩超(心脏),腹部彩超(餐前),心脏彩色多普勒超声,衢州-心脏彩超,心脏彩超-图文报告,颈动脉彩超(双侧)-无图文,双肾彩超,心脏彩超(无图文),心脏彩超+心功能检测(不含片),阴式彩超(子宫|附件),心脏彩超检查,心脏彩色多普勒超声检测,V心脏彩超,心脏彩超-出图文,心脏彩超(有图文),心脏B超检查,OY心脏彩超,彩超-心脏检查,心脏彩超(赠送),心脏(彩超),心脏彩超多普勒超声检测+左心功能六项,彩超心脏,心脏彩超+左心功能(VIP区),心脏彩超-图文,心脏多普勒彩超,心脏彩超+左心室功能,下肢静脉彩超(双侧),心脏检查(彩超),心脏彩超(不含图文),双下肢静脉彩超,心脏检查彩超,心脏彩超(图文报告),彩超检查-心脏,KS心脏彩超,K心脏彩超,心脏彩超+心功能测定,彩超-心脏彩超,彩超:心脏,丽水-心脏彩超,OY心脏彩超(出图文),肾动脉彩超,心脏检查彩超(赣州),心脏B超,双侧颈动脉彩超检查,泌尿彩超(双肾),心脏彩色多普勒超声(医保项目),MJ心脏彩超,心脏超声检查(本),心脏彩色多普勒超声(医保),心脏彩超(2T),心脏彩色多普勒超声检测+左心功能六项,超声检查-心脏超声,椎动脉超声检查(彩超),心脏彩超(出图文),四肢血管彩色多普勒超声,心脏超声检查A,双侧肾上腺彩超,心脏彩超(延期)(VIP区),彩超:心脏(省),颌下腺及淋巴结彩超,心脏超声检查(2T),心脏超声检查(本地),心脏彩超(DE),心脏彩超(升级),心脏彩色多普勒超声检测+彩色图文报告,心脏彩超(图文专供),下肢动脉彩超,心脏彩超-有图文,心脏超声检查(外),心脏超声检查0,泌尿生殖系B超",主动脉根部内径,数值型,,,
鼻腔黏?及分泌物,"耳鼻喉检查,耳鼻喉检查(1),耳鼻喉科一般检查,耳鼻喉科检查,外眼检查,耳鼻喉内窥镜检测,耳鼻喉科,耳鼻咽喉科,耳鼻咽喉检查,衢州-耳鼻咽喉检查,耳鼻喉科常规检查,耳鼻喉检查(常规),耳鼻喉(职业病检查),耳鼻喉,耳鼻喉科常规检测,耳鼻喉(外耳外鼻|鼻窦和咽部),听力检测,耳鼻喉科检查(含一次性器械),音叉检查,V耳鼻喉科,耳鼻喉检查(赣州),耳鼻喉检查(2),耳鼻喉(省),耳鼻喉+(喉镜),内窥镜耳鼻咽喉检查,2019耳鼻喉,耳鼻喉常规检查,耳|鼻|喉科,耳鼻喉科检查(餐前),K耳鼻喉检查,OY耳鼻喉检查,(一楼)耳鼻喉科检查,KS耳鼻喉科检查,(JZ)耳鼻喉科检查,2018耳鼻喉科,耳鼻咽喉内窥镜检查,耳鼻喉检查A,耳|鼻|喉,耳鼻喉检查(职业病),鼻内镜检查(医保),硬性鼻咽镜检查(医保),硬性耳内镜检查(医保),(外)耳鼻喉检查,耳鼻喉检查(1)(绵阳),耳鼻喉检查(A区309),耳鼻喉检查(平安),K-(职业)耳科常规检查,耳鼻喉科(入职),音叉测听,MJ耳鼻喉科检查,K-(职业)耳鼻喉常规检查,耳科(职),间接鼻咽镜检查,职业健康体检项目:耳鼻喉常规检查,耳鼻喉科(入职)(BN),耳鼻喉(延期),(306)耳鼻喉科常规检查,耳鼻喉检查(空腹),听力(128HZ音叉),耳鼻喉科(职),耳鼻喉检查N,耳鼻喉科内窥镜检查,五官科(入职),耳鼻喉常规检查(赠送),耳鼻喉科(打包),耳鼻喉检查(赠送),耳鼻喉检查(常规+电耳镜),耳鼻喉检查(三),五官科(入职)(BN),耳鼻喉(职业健康检查),丽水-耳鼻喉检查,耳鼻喉检查1,鼻内镜检查,慈铭-耳鼻喉科检查,耳鼻咽喉科(团),职业健康检查-耳鼻喉,耳鼻喉科(AY),耳鼻喉科常规检查(大连),耳|鼻|喉科-A16室,职业健康-耳鼻喉,耳鼻喉常规(职业病),耳鼻喉1,耳鼻喉科检查(M),耳鼻常规检查,(科室04)耳鼻喉检查,职业健康检查(耳科常规),耳鼻喉检查(013科室),MZ耳鼻喉科检查,耳鼻咽喉科(7Y),电耳镜检查,耳鼻喉(外耳外鼻|鼻窦和咽部)(赠送),耳鼻咽常规检查,耳内镜,耳鼻喉基础(外检项目,含鼻钳),耳鼻喉检查2楼,耳鼻喉(赠送)",鼻腔黏膜及分泌物,描述型,,,
详见单独的纸质报告,RH血型,详见单独的纸质报告,描述型,,,
超声检查,"彩超前列腺,彩超肝胆胰脾,腹部超声(男)(肝胆胰脾双肾|膀胱|前列腺)",超声检查,描述型,同chk_item,,
瞳孔,"眼底检查,眼科检查,眼科检查(辨色力),眼科检查(外眼),眼科检查(外眼|眼底),眼科检查(眼压),裂隙灯检查,外眼检查,眼科检查(裂隙灯),眼底,眼科检查(眼底),外眼及视力+裂隙灯检查,眼科检查(1),裂隙灯,眼底相机,眼科检查(外眼|眼底|眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科外眼检查,眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查,眼底照相,外眼及视力+眼底检查+裂隙灯检查,眼科检查(2),免散瞳眼底检测(眼底相机检查),眼科检查(3),眼底照相(双眼),眼底照相机,眼科检查(眼底|眼压),眼科+裂隙灯,免散瞳眼底检查(眼底相机检查),眼底照相检查(免散瞳眼底检测),眼科+眼底,眼科检查(4)",瞳孔,描述型,,,
左室射血分数,"心脏彩超-无图文,女性盆腔彩超,肝胆脾胰肾彩超,前列腺超声,心脏彩超,心脏超声检查,颈动脉彩超检查,子宫附件超声,阴式彩超,心脏超声,阴超,彩超(心脏),腹部彩超(餐前),心脏彩色多普勒超声,衢州-心脏彩超,心脏彩超-图文报告,颈动脉彩超(双侧)-无图文,双肾彩超,心脏彩超(无图文),阴式彩超(子宫|附件),心脏彩超检查,心脏彩色多普勒超声检测,V心脏彩超,心脏彩超-出图文,心脏彩超(有图文),心脏B超检查,彩超-心脏检查,心脏彩超(赠送),心脏(彩超),心脏彩超多普勒超声检测+左心功能六项,彩超心脏,心脏彩超+左心功能(VIP区),心脏彩超-图文,心脏多普勒彩超,心脏彩超+左心室功能,下肢静脉彩超(双侧),心脏检查(彩超),心脏彩超(不含图文),心脏检查彩超,心脏彩超(图文报告),彩超检查-心脏,KS心脏彩超,K心脏彩超,心脏彩超+心功能测定,彩超-心脏彩超,彩超:心脏,丽水-心脏彩超,心脏检查彩超(赣州),心脏B超,泌尿彩超(双肾),心脏彩色多普勒超声(医保项目),心脏超声检查(本),心脏彩色多普勒超声(医保),心脏彩超(2T),心脏彩色多普勒超声检测+左心功能六项,心脏彩超(出图文),心脏超声检查A,双侧肾上腺彩超,心脏彩超(延期)(VIP区),彩超:心脏(省),颌下腺及淋巴结彩超,心脏超声检查(2T),慈铭-心脏彩超,心脏超声检查(本地),心脏彩超(DE),心脏彩超+心功测定,心脏彩超(升级),心脏彩色多普勒超声检测+彩色图文报告,心脏彩超(图文专供),心脏彩超-有图文,心脏超声检查(外),心脏超声检查0,泌尿生殖系B超",心室射血分数（左）,数值型,,,
口底,"口腔检查(2),口腔检查(1)",口底,描述型,,,
胆检查,内科检查,胆,描述型,,,
颈部血管彩色多普勒超声;腹部B超常规肝,"甲状腺B超,乳房B超,肾脏彩超,颈部血管彩色多普勒超声",颈部血管彩色多普勒超声;腹部B超常规肝,描述型,同chk_item,,
音叉测听,"耳鼻喉检查,耳鼻喉检查(1),音叉检查,音叉测听,耳鼻喉(赠送)",音叉检查,描述型,,,
左神经?射,"外科检查,外科,(女)外科检查,(男)外科检查,外科检查A,(女)外科检查A",神经反射（左）,描述型,,,
乳腺红外线扫描检查,红外乳透,乳腺（红外线）,描述型,,,
溃疡?位,"外科检查,外科检查(男),外科,外科检查(常规),外科检查(女),外科检查(含肛检),(女)外科检查,(男)外科检查,外科检查A,(女)外科检查A,外科检查(男1),外科检查(女1)",溃疡部位,描述型,,,
消化系|泌尿系彩超,腹部彩超常规,消化系统|泌尿系统彩超,描述型,同chk_item,,
主动脉根部内径,"心脏彩超-无图文,女性盆腔彩超,肝胆脾胰肾彩超,前列腺超声,心脏彩超,心脏超声检查,双侧颈动脉彩超,颈动脉彩超检查,子宫附件超声,阴式彩超,心脏超声,彩超(心脏),腹部彩超(餐前),心脏彩色多普勒超声,衢州-心脏彩超,心脏彩超-图文报告,颈动脉彩超(双侧)-无图文,双肾彩超,心脏彩超(无图文),心脏彩超+心功能检测(不含片),阴式彩超(子宫|附件),心脏彩超检查,心脏彩色多普勒超声检测,V心脏彩超,心脏彩超-出图文,心脏彩超(有图文),心脏B超检查,OY心脏彩超,彩超-心脏检查,心脏彩超(赠送),心脏(彩超),心脏彩超多普勒超声检测+左心功能六项,彩超心脏,心脏彩超+左心功能(VIP区),心脏彩超-图文,心脏多普勒彩超,心脏彩超+左心室功能,下肢静脉彩超(双侧),心脏检查(彩超),心脏彩超(不含图文),双下肢静脉彩超,心脏检查彩超,心脏彩超(图文报告),彩超检查-心脏,KS心脏彩超,K心脏彩超,心脏彩超+心功能测定,彩超-心脏彩超,彩超:心脏,丽水-心脏彩超,OY心脏彩超(出图文),肾动脉彩超,心脏检查彩超(赣州),心脏B超,双侧颈动脉彩超检查,泌尿彩超(双肾),心脏彩色多普勒超声(医保项目),MJ心脏彩超,心脏超声检查(本),心脏彩色多普勒超声(医保),心脏彩超(2T),心脏彩色多普勒超声检测+左心功能六项,超声检查-心脏超声,椎动脉超声检查(彩超),心脏彩超(出图文),四肢血管彩色多普勒超声,心脏超声检查A,双侧肾上腺彩超,心脏彩超(延期)(VIP区),彩超:心脏(省),颌下腺及淋巴结彩超,心脏超声检查(2T),心脏超声检查(本地),心脏彩超(DE),心脏彩超(升级),心脏彩色多普勒超声检测+彩色图文报告,心脏彩超(图文专供),下肢动脉彩超,心脏彩超-有图文,心脏超声检查(外),心脏超声检查0,泌尿生殖系B超",主动脉根部内径,数值型,,,
障碍,"电测听,音叉检查,音叉测听",障碍,描述型,,音叉检查,
智齿,口腔检查,智齿,描述型,,,
一秒钟用力吐气量,"肺功能,肺功能检查",第一秒最大呼气量,数值型,,,
肝压痛,"内科检查,内科",肝脏压痛,描述型,,,
